GlobalLeftX,GlobalLeftY,GlobalRightX,GlobalRightY
14445,13694,14505,13740
14949,13420,15064,13437
14643,13452,14779,13515
14547,13422,14668,13495
16185,13971,16243,14039
16192,13902,16255,13965
16217,13730,16273,13778
16256,13630,16342,13661
16305,14009,16337,14076
16269,14046,16300,14109
16175,14299,16179,14323
15849,14179,15858,14202
15914,13720,15949,13776
15786,13513,15809,13558
15901,13551,15963,13603
16053,13795,16112,13847
15509,14067,15510,14084
15511,14236,15518,14256
15700,14307,15702,14317
16331,13331,16368,13413
16285,13892,16352,13926
16774,14044,16822,14106
16815,13960,16866,14006
16907,13745,16995,13807
17246,13620,17320,13701
16802,13474,16852,13557
16989,13583,17005,13663
17104,13797,17195,13889
16722,14175,16782,14260
16540,14168,16591,14237
16599,13748,16642,13803
16692,13803,16755,13874
16464,13635,16478,13704
16521,13588,16535,13639
16524,13405,16535,13487
17156,13520,17221,13615
17246,13673,17201,13821
16891,13871,16958,13940
16713,13959,16765,14002
16643,13970,16693,14032
16405,13881,16466,13951
18184,13959,18281,14060
18034,13621,18139,13714
18221,13662,18332,13781
17695,13802,17775,13901
17487,13918,17601,14021
17611,14042,17719,14167
17484,14006,17598,14132
17567,14147,17662,14275
17937,13879,18007,13981
17920,13595,18012,13697
17911,13638,18003,13740
17485,13536,17573,13629
17498,13495,17599,13589
17714,13555,17810,13643
18213,13550,18332,13650
18092,13628,18190,13717
18234,13415,18343,13519
17509,13740,17560,13836
18316,14003,18402,14126
18212,13834,18310,13938
19104,13623,19215,13726
19137,13622,19252,13725
19123,13662,19241,13767
19092,13658,19206,13761
19017,13985,19121,14085
18815,13576,18927,13677
18784,13614,18896,13704
